episode,selectivity,bucket_id,q_pre_before,q_post_before,chosen_strategy,was_guardrail,latency_ms,recall,reward,q_pre_after,q_post_after,gt_latency_ms,filter_name
1,0.859249,20,1.0,1.0,pre_filter,False,48.1344,1.0,0.0,0.9,1.0,25.2618,overall>=3.0
2,0.728433,19,1.0,1.0,pre_filter,False,42.0568,1.0,0.0,0.9,1.0,25.5572,"overall IN (2,3,5)"
3,0.140751,1,1.0,1.0,post_filter,False,1.3715,0.3,9e-06,1.0,0.900001,27.3337,overall<=2.0
4,0.906777,21,1.0,1.0,post_filter,True,0.8683,1.0,0.971056,1.0,0.997106,25.2152,overall>=2.0
5,0.230635,3,1.0,1.0,post_filter,False,1.0008,1.0,0.96664,1.0,0.996664,25.5803,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
6,0.073033,0,1.0,1.0,post_filter,False,1.1895,0.1,0.0,1.0,0.9,26.0647,brand='Tiffen'
7,0.751008,19,0.9,1.0,post_filter,False,0.9293,1.0,0.969022,0.9,0.996902,25.3124,"overall IN (1,2,5)"
8,0.610257,18,1.0,1.0,post_filter,False,0.7653,1.0,0.974492,1.0,0.997449,25.3948,overall>=5.0
9,0.906777,21,1.0,0.997106,post_filter,True,1.0038,1.0,0.966539,1.0,0.994049,25.3388,overall>=2.0
10,0.300422,7,1.0,1.0,pre_filter,False,16.8116,1.0,0.439613,0.943961,1.0,25.3188,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
11,0.680906,18,1.0,0.997449,pre_filter,False,40.0861,1.0,0.0,0.9,0.997449,25.2113,"overall IN (3,5)"
12,0.952472,21,1.0,0.994049,post_filter,True,0.904,1.0,0.969867,1.0,0.991631,25.2024,"overall IN (1,3,4,5)"
13,0.12068,1,1.0,0.900001,pre_filter,False,7.1605,1.0,0.761318,0.976132,0.900001,25.4172,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
14,0.7886,19,0.9,0.996902,post_filter,False,0.7751,1.0,0.974164,0.9,0.994628,25.3675,overall>=4.0
15,0.906777,21,1.0,0.991631,post_filter,True,0.5868,1.0,0.980439,1.0,0.990511,25.329,overall>=2.0
16,0.658182,18,0.9,0.997449,pre_filter,False,38.3435,1.0,0.0,0.81,0.997449,25.0553,verified=true AND overall>=3.0
17,0.906777,21,1.0,0.990511,post_filter,True,0.9167,1.0,0.969442,1.0,0.988405,25.2553,overall>=2.0
18,0.12068,1,0.976132,0.900001,pre_filter,False,6.9998,1.0,0.766675,0.955186,0.900001,25.3122,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
19,0.248992,4,1.0,1.0,pre_filter,False,20.3918,1.0,0.320274,0.932027,1.0,24.9995,"overall IN (3,4)"
20,0.092237,0,1.0,0.9,pre_filter,False,5.6623,1.0,0.811258,0.981126,0.9,25.0894,main_cat='Home Audio &amp; Theater' AND overall>=3.0
21,0.836128,20,0.9,1.0,pre_filter,False,46.0119,1.0,0.0,0.81,1.0,25.6624,"overall IN (2,4,5)"
22,0.160682,1,0.955186,0.900001,pre_filter,False,9.5014,1.0,0.683287,0.927996,0.900001,25.5144,"main_cat IN ('Camera & Photo', 'Computers')"
23,0.230635,3,1.0,0.996664,post_filter,False,0.7515,1.0,0.97495,1.0,0.994493,25.8194,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
24,0.389743,11,1.0,1.0,post_filter,False,0.7895,1.0,0.973685,1.0,0.997368,25.4489,overall<=4.0
25,0.929351,21,1.0,0.988405,post_filter,True,0.9566,1.0,0.968113,1.0,0.986375,25.1205,"overall IN (1,2,4,5)"
26,0.658182,18,0.81,0.997449,post_filter,False,0.3121,0.6,0.009994,0.81,0.898704,25.2989,verified=true AND overall>=3.0
27,0.140751,1,0.927996,0.900001,pre_filter,False,12.0627,1.0,0.597911,0.894988,0.900001,25.246,overall<=2.0
28,0.881823,20,0.81,1.0,post_filter,False,0.8443,1.0,0.971858,0.81,0.997186,25.3406,"overall IN (1,4,5)"
29,0.339351,8,1.0,1.0,post_filter,False,0.905,1.0,0.969832,1.0,0.996983,25.4205,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
30,0.092237,0,0.981126,0.9,pre_filter,False,5.7538,1.0,0.808206,0.963834,0.9,25.3093,main_cat='Home Audio &amp; Theater' AND overall>=3.0
31,0.952472,21,1.0,0.986375,post_filter,True,0.4426,0.0,0.0,1.0,0.887738,25.3398,"overall IN (1,3,4,5)"
32,0.210713,2,1.0,1.0,post_filter,False,0.974,0.7,0.045647,1.0,0.904565,25.1136,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
33,0.881823,20,0.81,0.997186,post_filter,False,0.7034,1.0,0.976554,0.81,0.995123,25.3053,"overall IN (1,4,5)"
34,0.389743,11,1.0,0.997368,pre_filter,False,27.5878,1.0,0.080408,0.908041,0.997368,25.2916,overall<=4.0
35,0.929351,21,1.0,0.887738,post_filter,True,0.8427,1.0,0.97191,1.0,0.896155,25.1576,"overall IN (1,2,4,5)"
36,0.300422,7,0.943961,1.0,post_filter,False,0.9604,1.0,0.967987,0.943961,0.996799,24.9353,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
37,0.952472,21,1.0,0.896155,post_filter,True,0.7247,1.0,0.975843,1.0,0.904124,25.0555,"overall IN (1,3,4,5)"
38,0.050727,0,0.963834,0.9,post_filter,False,0.7022,1.0,0.976593,0.963834,0.907659,25.1232,"main_cat IN ('Computers', 'Tools & Home Improvement')"
39,0.339351,8,1.0,0.996983,pre_filter,False,90.1981,1.0,0.0,0.9,0.996983,33.7129,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
40,0.073033,0,0.963834,0.907659,post_filter,False,0.8291,1.0,0.972363,0.963834,0.91413,25.3715,brand='Tiffen'
41,0.319094,7,0.943961,0.996799,post_filter,False,1.6973,0.9,0.549409,0.943961,0.95206,25.3043,"overall IN (1,2,4)"
42,0.658182,18,0.81,0.898704,post_filter,False,0.9655,1.0,0.967818,0.81,0.905615,25.2682,verified=true AND overall>=3.0
43,0.300422,7,0.943961,0.95206,post_filter,False,1.4795,1.0,0.950685,0.943961,0.951922,25.3304,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
44,0.210713,2,1.0,0.904565,pre_filter,False,14.1602,1.0,0.527994,0.952799,0.904565,25.0976,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
45,0.319094,7,0.943961,0.951922,pre_filter,False,24.2982,1.0,0.190061,0.868571,0.951922,25.2113,"overall IN (1,2,4)"
46,0.092237,0,0.963834,0.91413,post_filter,False,1.4428,1.0,0.951907,0.963834,0.917907,25.6465,main_cat='Home Audio &amp; Theater' AND overall>=3.0
47,0.300422,7,0.868571,0.951922,pre_filter,False,18.2528,1.0,0.391572,0.820871,0.951922,25.2258,"main_cat IN ('All Electronics', 'Books', 'Sports & Outdoors')"
48,0.210713,2,0.952799,0.904565,pre_filter,False,11.5173,0.0,0.0,0.857519,0.904565,25.4845,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
49,0.050727,0,0.963834,0.917907,pre_filter,False,2.868,1.0,0.904401,0.957891,0.917907,25.6262,"main_cat IN ('Computers', 'Tools & Home Improvement')"
50,0.270385,5,1.0,1.0,pre_filter,False,15.5304,1.0,0.482321,0.948232,1.0,25.5186,"main_cat IN ('Home Audio & Theater', 'Books', 'Tools & Home Improvement')"
51,0.952472,21,1.0,0.904124,post_filter,True,1.22,0.9,0.558675,1.0,0.869579,25.9097,"overall IN (1,3,4,5)"
52,0.12068,1,0.894988,0.900001,pre_filter,False,6.9665,1.0,0.767783,0.882267,0.900001,25.5009,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
53,0.881823,20,0.81,0.995123,post_filter,False,1.0655,1.0,0.964485,0.81,0.992059,25.0499,"overall IN (1,4,5)"
54,0.7886,19,0.9,0.994628,post_filter,False,1.2162,1.0,0.959461,0.9,0.991112,25.3976,overall>=4.0
55,0.751008,19,0.9,0.991112,post_filter,False,0.9795,1.0,0.96735,0.9,0.988735,25.467,"overall IN (1,2,5)"
56,0.270385,5,0.948232,1.0,post_filter,False,1.3786,0.6,0.009635,0.948232,0.900963,25.8387,"main_cat IN ('Home Audio & Theater', 'Books', 'Tools & Home Improvement')"
57,0.859249,20,0.81,0.992059,post_filter,False,0.7992,1.0,0.97336,0.81,0.990189,25.6822,overall>=3.0
58,0.140751,1,0.882267,0.900001,post_filter,False,1.7377,0.0,0.0,0.882267,0.810001,27.7246,overall<=2.0
59,0.140751,1,0.882267,0.810001,pre_filter,False,16.109,1.0,0.463035,0.840344,0.810001,25.2529,overall<=2.0
60,0.073033,0,0.957891,0.917907,post_filter,False,1.2137,0.7,0.04527,0.957891,0.830644,25.3473,brand='Tiffen'
61,0.248992,4,0.932027,1.0,post_filter,False,1.0227,1.0,0.965911,0.932027,0.996591,25.3704,"overall IN (3,4)"
62,0.952472,21,1.0,0.869579,post_filter,True,0.819,1.0,0.972701,1.0,0.879891,25.5489,"overall IN (1,3,4,5)"
63,0.881823,20,0.81,0.990189,post_filter,False,0.9578,1.0,0.968075,0.81,0.987978,25.2132,"overall IN (1,4,5)"
64,0.610257,18,0.81,0.905615,post_filter,False,1.1557,1.0,0.961475,0.81,0.911201,25.422,overall>=5.0
65,0.7886,19,0.9,0.988735,pre_filter,False,64.309,1.0,0.0,0.81,0.988735,25.3395,overall>=4.0
66,0.881823,20,0.81,0.987978,post_filter,False,0.7279,1.0,0.975736,0.81,0.986753,25.3113,"overall IN (1,4,5)"
67,0.140751,1,0.840344,0.810001,pre_filter,False,12.1419,1.0,0.595269,0.815837,0.810001,27.6885,overall<=2.0
68,0.836128,20,0.81,0.986753,pre_filter,False,47.0065,1.0,0.0,0.729,0.986753,25.1321,"overall IN (2,4,5)"
69,0.7886,19,0.81,0.988735,post_filter,False,0.9945,0.9,0.563052,0.81,0.946167,25.2319,overall>=4.0
70,0.610257,18,0.81,0.911201,post_filter,False,1.6652,1.0,0.944494,0.81,0.91453,25.0788,overall>=5.0
71,0.389743,11,0.908041,0.997368,post_filter,False,1.841,1.0,0.938632,0.908041,0.991495,25.3909,overall<=4.0
72,0.728433,19,0.81,0.946167,post_filter,False,1.1458,1.0,0.961808,0.81,0.947731,25.3128,"overall IN (2,3,5)"
73,0.050727,0,0.957891,0.830644,pre_filter,False,2.9359,1.0,0.902136,0.952315,0.830644,25.3191,"main_cat IN ('Computers', 'Tools & Home Improvement')"
74,0.929351,21,1.0,0.879891,post_filter,True,1.6245,1.0,0.945849,1.0,0.886487,25.1898,"overall IN (1,2,4,5)"
75,0.092237,0,0.952315,0.830644,pre_filter,False,5.7113,1.0,0.809624,0.938046,0.830644,25.0654,main_cat='Home Audio &amp; Theater' AND overall>=3.0
76,0.050727,0,0.938046,0.830644,post_filter,False,1.0212,1.0,0.965958,0.938046,0.844175,25.1949,"main_cat IN ('Computers', 'Tools & Home Improvement')"
77,0.230635,3,1.0,0.994493,post_filter,False,1.0022,1.0,0.966594,1.0,0.991703,25.2002,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo', 'Cell Phones &amp; Accessories')"
78,0.180604,1,0.815837,0.810001,post_filter,False,0.933,1.0,0.968899,0.815837,0.825891,25.1964,"main_cat IN ('Camera & Photo', 'Computers', 'Cell Phones &amp; Accessories')"
79,0.881823,20,0.729,0.986753,post_filter,False,0.7744,1.0,0.974186,0.729,0.985497,25.2201,"overall IN (1,4,5)"
80,0.140751,1,0.815837,0.825891,post_filter,False,0.8576,1.0,0.971414,0.815837,0.840443,25.0699,overall<=2.0
81,0.680906,18,0.81,0.91453,post_filter,False,0.3418,1.0,0.988606,0.81,0.921938,25.2277,"overall IN (3,5)"
82,0.821657,20,0.729,0.985497,post_filter,False,0.9532,1.0,0.968228,0.729,0.98377,25.1105,"overall IN (1,2,3,5)"
83,0.728433,19,0.81,0.947731,pre_filter,False,41.8153,1.0,0.0,0.729,0.947731,25.1358,"overall IN (2,3,5)"
84,0.658182,18,0.81,0.921938,post_filter,False,0.9038,1.0,0.969872,0.81,0.926731,25.026,verified=true AND overall>=3.0
85,0.339351,8,0.9,0.996983,post_filter,False,0.2973,0.0,0.0,0.9,0.897285,25.2095,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
86,0.12068,1,0.815837,0.840443,pre_filter,False,7.0977,1.0,0.763411,0.810594,0.840443,25.1127,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
87,0.836128,20,0.729,0.98377,post_filter,False,0.3698,1.0,0.987674,0.729,0.98416,25.3418,"overall IN (2,4,5)"
88,0.248992,4,0.932027,0.996591,post_filter,False,0.3545,1.0,0.988185,0.932027,0.99575,25.4872,"overall IN (3,4)"
89,0.210713,2,0.857519,0.904565,pre_filter,False,11.7805,1.0,0.607318,0.832499,0.904565,25.0959,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
90,0.248992,4,0.932027,0.99575,post_filter,False,0.7508,1.0,0.974974,0.932027,0.993673,25.6635,"overall IN (3,4)"
91,0.12068,1,0.810594,0.840443,pre_filter,False,6.9795,1.0,0.76735,0.80627,0.840443,25.8164,"main_cat IN ('Camera &amp; Photo', 'Cell Phones &amp; Accessories', 'Tools & Home Improvement')"
92,0.073033,0,0.938046,0.844175,pre_filter,False,4.042,1.0,0.865265,0.930768,0.844175,25.7701,brand='Tiffen'
93,0.210713,2,0.832499,0.904565,pre_filter,False,11.6439,1.0,0.611871,0.810437,0.904565,25.4144,"main_cat IN ('Camera & Photo', 'Camera &amp; Photo')"
94,0.339351,8,0.9,0.897285,pre_filter,False,19.5557,1.0,0.348143,0.844814,0.897285,25.3119,"main_cat IN ('Home Audio & Theater', 'Camera &amp; Photo', 'Sports & Outdoors')"
95,0.751008,19,0.729,0.947731,post_filter,False,0.8915,1.0,0.970285,0.729,0.949987,25.1727,"overall IN (1,2,5)"
96,0.859249,20,0.729,0.98416,post_filter,False,1.0328,1.0,0.965572,0.729,0.982301,25.3594,overall>=3.0
97,0.728433,19,0.729,0.949987,post_filter,False,0.9697,1.0,0.967676,0.729,0.951756,25.1638,"overall IN (2,3,5)"
98,0.389743,11,0.908041,0.991495,post_filter,False,0.8105,1.0,0.972982,0.908041,0.989644,25.723,overall<=4.0
